Time,HeartRate,BodyTemp,EnvTemp,Humidity
2026-03-17 14:44:59.144689,142.0,36.25,33.1,68.4
2026-03-17 14:45:02.326390,0.0,36.25,33.1,68.4
2026-03-17 14:45:05.339029,0.0,36.31,33.1,68.3
2026-03-17 14:45:08.347105,142.0,36.31,33.1,68.4
2026-03-17 14:45:11.357707,142.0,36.31,33.1,68.4
2026-03-17 14:45:14.371770,142.0,36.31,33.1,68.4
2026-03-17 14:45:17.383710,0.0,36.31,33.1,68.4
2026-03-17 14:45:20.398902,142.0,36.38,33.1,68.4
2026-03-17 14:45:23.411286,142.0,36.38,33.1,68.3
2026-03-17 14:45:26.425180,142.0,36.38,33.1,68.3
2026-03-17 14:45:29.437159,0.0,36.31,33.1,68.3
2026-03-17 14:45:32.450361,0.0,36.38,33.1,68.3
2026-03-17 14:45:35.463297,142.0,36.38,33.1,68.3
2026-03-17 14:45:38.477179,93.0,36.38,33.1,68.3
2026-03-17 14:45:41.489082,0.0,36.38,33.2,68.3
2026-03-17 14:45:44.501271,96.0,36.38,33.2,68.4
2026-03-17 14:45:47.514303,96.0,36.38,33.2,68.4
2026-03-17 14:45:50.526477,96.0,36.44,33.2,68.4
2026-03-17 14:45:53.544446,96.0,36.38,33.2,68.3
2026-03-17 14:45:56.551478,96.0,36.44,33.2,68.4
2026-03-17 14:45:59.564653,135.0,36.38,33.2,68.3
2026-03-17 14:46:02.577575,93.0,36.44,33.2,68.3
2026-03-17 14:46:05.592686,93.0,36.44,33.2,68.3
2026-03-17 14:46:08.604639,93.0,36.44,33.2,68.3
2026-03-17 14:46:11.622044,93.0,36.44,33.2,68.3
2026-03-17 14:46:14.634381,93.0,36.44,33.2,68.3
2026-03-17 14:46:17.646383,93.0,36.38,33.2,68.4
2026-03-17 14:46:20.658036,119.0,36.38,33.2,68.4
2026-03-17 14:46:23.673033,96.0,36.44,33.1,68.4
2026-03-17 14:46:26.685141,96.0,36.44,33.1,68.4
2026-03-17 14:46:29.698390,0.0,36.44,33.2,68.4
2026-03-17 14:46:32.713309,0.0,36.44,33.1,68.5
2026-03-17 14:46:35.725361,0.0,36.38,33.1,68.5
2026-03-17 14:46:38.739349,0.0,36.38,33.1,68.6
2026-03-17 15:09:26.356225,0.0,34.25,33.4,67.2
2026-03-17 15:09:29.354534,0.0,34.13,33.4,67.4
2026-03-17 15:09:32.371494,0.0,34.0,33.4,67.4
2026-03-17 15:09:35.382040,0.0,33.94,33.4,67.4
2026-03-17 15:09:38.395819,0.0,33.81,33.4,67.3
2026-03-17 15:09:41.409680,0.0,33.63,33.3,67.1
2026-03-17 15:09:44.423127,0.0,33.56,33.3,67.4
2026-03-17 15:09:47.436384,0.0,33.5,33.3,67.8
2026-03-17 15:09:50.450667,0.0,33.44,33.3,68.1
2026-03-17 15:09:53.462669,0.0,33.38,33.3,68.7
2026-03-17 15:09:56.477260,74.0,33.44,33.3,69.1
2026-03-17 15:09:59.488568,74.0,33.38,33.3,69.5
2026-03-17 15:10:02.501936,119.0,33.38,33.3,69.7
2026-03-17 15:10:05.517339,53.0,33.38,33.3,69.9
2026-03-17 15:10:08.540422,102.0,33.38,33.3,69.2
2026-03-17 15:10:11.542463,110.0,33.38,33.3,69.1
2026-03-17 15:10:14.557820,110.0,33.44,33.3,68.9
2026-03-17 15:10:17.569750,110.0,33.44,33.3,68.8
2026-03-17 15:10:20.590701,0.0,33.44,33.3,68.8
2026-03-17 15:10:23.596215,110.0,33.38,33.3,68.6
2026-03-17 15:10:26.611168,110.0,33.38,33.3,68.5
2026-03-17 15:10:29.623419,110.0,33.31,33.3,68.5
2026-03-17 15:10:32.640176,110.0,33.31,33.3,68.4
2026-03-17 15:10:35.651429,110.0,33.31,33.3,68.1
2026-03-17 15:10:38.664450,110.0,33.25,33.3,67.9
2026-03-17 15:10:41.667270,0.0,33.25,33.3,67.7
2026-03-17 15:10:44.686250,110.0,33.19,33.3,67.8
2026-03-17 15:10:47.827534,110.0,33.19,33.3,68.2
2026-03-17 15:10:51.033450,0.0,33.19,33.3,68.7
2026-03-17 15:10:54.013432,0.0,33.19,33.3,69.1
2026-03-17 15:10:57.207740,0.0,33.19,33.3,69.0
2026-03-17 15:11:00.221969,110.0,33.19,33.3,68.7
2026-03-17 15:11:03.234156,110.0,33.19,33.3,68.8
2026-03-17 15:11:06.248538,110.0,33.19,33.3,68.8
2026-03-17 15:11:09.261967,0.0,33.19,33.3,68.7
2026-03-17 15:11:12.276199,0.0,33.25,33.3,69.5
2026-03-17 15:11:15.288897,0.0,33.25,33.3,69.6
2026-03-17 15:11:18.302437,0.0,33.25,33.3,69.1
2026-03-17 15:11:21.361808,0.0,33.25,33.3,68.5
2026-03-17 15:11:24.369397,110.0,33.25,33.3,68.0
2026-03-17 15:11:27.383270,110.0,33.25,33.3,67.6
2026-03-17 15:11:30.395447,103.0,33.31,33.3,67.2
2026-03-17 15:11:33.411835,142.0,33.31,33.4,67.1
2026-03-17 15:11:36.423698,87.0,33.31,33.4,67.1
2026-03-17 15:11:39.438399,87.0,33.31,33.4,67.2
2026-03-17 15:11:42.454967,43.0,33.31,33.4,67.3
2026-03-17 15:11:45.464277,119.0,33.38,33.4,67.6
2026-03-17 15:11:48.478363,119.0,33.31,33.4,67.5
2026-03-17 15:11:51.492552,74.0,33.38,33.4,67.6
2026-03-17 15:11:54.504227,119.0,33.38,33.4,68.1
2026-03-17 15:11:57.516430,0.0,33.44,33.4,68.4
2026-03-17 15:12:00.530751,0.0,33.38,33.4,68.8
2026-03-17 15:12:03.545974,0.0,33.44,33.4,68.6
2026-03-17 15:12:06.557097,0.0,33.44,33.4,68.4
2026-03-17 15:12:09.568669,0.0,33.44,33.4,68.0
2026-03-17 15:12:12.583507,0.0,33.44,33.4,67.7
2026-03-17 15:12:15.595256,0.0,33.44,33.4,67.6
2026-03-17 15:12:18.608778,0.0,33.44,33.4,67.5
2026-03-17 15:12:21.622333,0.0,33.5,33.4,67.5
2026-03-17 15:12:24.636686,0.0,33.5,33.3,67.8
2026-03-17 15:12:27.669694,0.0,33.5,33.3,67.9
2026-03-17 15:12:30.913441,0.0,33.5,33.3,68.2
2026-03-17 15:12:33.915560,0.0,33.56,33.3,68.4
2026-03-17 15:12:36.929753,0.0,33.69,33.3,68.6
2026-03-17 15:12:39.970555,0.0,33.81,33.3,68.8
2026-03-17 15:12:42.957703,0.0,33.94,33.3,68.9
2026-03-17 15:14:56.982263,0.0,34.56,33.2,68.0
2026-03-17 15:14:59.996166,0.0,34.63,33.2,68.1
2026-03-17 15:15:03.010573,0.0,34.69,33.2,68.1
2026-03-17 15:15:06.022488,157.0,34.69,33.2,68.4
2026-03-17 15:15:09.037720,63.0,34.69,33.2,68.5
2026-03-17 15:15:12.049649,59.0,34.75,33.2,68.5
2026-03-17 15:15:15.065155,59.0,34.75,33.2,68.5
2026-03-17 15:15:18.077709,58.0,34.75,33.2,68.6
2026-03-17 15:15:21.094999,135.0,34.81,33.2,68.4
2026-03-17 15:15:24.106778,90.0,34.81,33.2,68.3
2026-03-17 15:15:27.117080,90.0,34.88,33.2,68.3
2026-03-17 15:15:30.131174,99.0,34.88,33.2,68.3
2026-03-17 15:15:33.148307,56.0,34.88,33.2,68.3
2026-03-17 15:15:36.166243,56.0,34.94,33.2,68.3
2026-03-17 15:15:39.171900,0.0,35.0,33.2,68.4
2026-03-17 15:15:42.183859,0.0,35.0,33.2,68.5
2026-03-17 15:15:45.199333,0.0,35.0,33.2,68.6
2026-03-17 15:15:48.213080,0.0,35.06,33.2,68.8
2026-03-17 15:15:51.226255,0.0,35.06,33.2,69.1
2026-03-17 15:15:54.240734,0.0,35.13,33.2,69.4
2026-03-17 15:15:57.253095,0.0,35.13,33.2,69.7
2026-03-17 15:16:00.266456,0.0,35.06,33.2,70.1
2026-03-17 15:16:03.281812,0.0,35.0,33.2,70.5
2026-03-17 15:16:06.294202,0.0,35.0,33.2,70.9
2026-03-17 15:16:09.307673,0.0,34.88,33.2,71.1
2026-03-17 15:16:12.322954,0.0,34.81,33.2,70.9
2026-03-17 15:16:15.334571,0.0,34.75,33.2,70.7
2026-03-17 15:16:18.347807,0.0,34.69,33.2,70.3
2026-03-17 15:16:21.362762,0.0,34.63,33.2,70.0
2026-03-17 15:16:24.376809,0.0,34.56,33.2,69.8
2026-03-17 15:16:27.391399,0.0,34.5,33.2,69.4
2026-03-17 15:16:30.402804,0.0,34.44,33.2,69.1
2026-03-17 15:16:33.416050,0.0,34.38,33.2,68.9
2026-03-17 15:16:36.431247,0.0,34.31,33.2,68.8
2026-03-17 15:16:39.443726,0.0,34.31,33.2,68.6
